-1,-1,345,345,345,345,345,345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,345,345,345,345,345,345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,345,345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,123,123,345,345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
123,123,123,123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,123,123,123,123,123,123,-1,-1
123,123,123,123,123,123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
456,456,-1,-1,-1,-1,456,456,345,345,345,345,345,345,345,345,456,456,-1,-1,-1,-1,-1,-1,-1,-1
456,456,-1,-1,-1,-1,456,456,345,345,345,345,345,345,345,345,456,456,-1,-1,-1,-1,-1,-1,-1,-1
456,456,-1,-1,-1,-1,345,345,345,345,345,345,345,345,345,345,345,345,-1,-1,-1,-1,456,456,-1,-1
456,456,-1,-1,-1,-1,345,345,345,345,345,345,345,345,345,345,345,345,-1,-1,-1,-1,456,456,-1,-1
-1,-1,456,456,-1,-1,345,345,234,234,234,234,234,234,234,234,345,345,123,123,123,123,-1,-1,456,456
-1,-1,456,456,-1,-1,345,345,234,234,234,234,234,234,234,234,345,345,123,123,123,123,-1,-1,456,456
456,456,123,123,-1,-1,567,567,567,567,567,567,567,567,567,567,567,567,567,567,123,123,456,456,-1,-1
456,456,123,123,-1,-1,567,567,567,567,567,567,567,567,567,567,567,567,567,567,123,123,456,456,-1,-1
456,456,-1,-1,234,234,234,234,234,234,123,123,123,123,234,234,234,234,123,123,123,123,-1,-1,-1,-1
456,456,-1,-1,234,234,234,234,234,234,123,123,123,123,234,234,234,234,123,123,123,123,-1,-1,-1,-1
-1,-1,456,456,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,456,456,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,234,234,123,123
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,234,234,123,123
123,123,-1,-1,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,-1,-1,-1,123
123,123,-1,-1,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,-1,-1,-1,123
123,123,-1,-1,345,345,345,345,345,345,123,123,123,123,123,123,345,345,345,345,345,345,-1,-1,-1,123
123,123,-1,-1,345,345,345,345,345,345,123,123,123,123,123,123,345,345,345,345,345,345,-1,-1,-1,123
123,123,-1,-1,345,345,345,345,-1,-1,123,123,999,-1,123,123,-1,-1,345,345,345,345,-1,-1,-1,123
123,123,-1,-1,345,345,345,345,-1,-1,123,123,-1,-1,123,123,-1,-1,345,345,345,345,-1,-1,-1,123
